epoch,avg_score,avg_score_bin,success_rate
0,-0.5837298973929137,0.0,0.056179775280898875
1,-0.2821075278799981,0.0,0.15730337078651685
2,-0.33038496496155856,0.0,0.21348314606741572
3,-0.21399677605368198,0.0,0.23595505617977527
4,-0.38588724080473186,0.0,0.2696629213483146
5,-0.4434183127479628,0.0,0.29213483146067415
6,-0.18743193577975034,0.0,0.3707865168539326
7,-0.16327983736991883,0.0,0.39325842696629215
8,-0.2741496067494154,0.0,0.42696629213483145
9,-0.23451462239027024,0.0,0.449438202247191
