epoch,avg_score,avg_score_bin,success_rate
0,-0.09981896921526641,0.0,0.018691588785046728
1,-0.07223825938999653,0.0,0.009345794392523364
2,-0.10808057729154825,0.0,0.028037383177570093
3,-0.05036593861004803,0.0,0.028037383177570093
4,-0.030556723661720752,0.0,0.028037383177570093
5,-0.10476539321243764,0.0,0.037383177570093455
6,-0.015893201110884547,0.0,0.028037383177570093
7,-0.13668998882640154,0.0,0.028037383177570093
8,-0.14873522371053696,0.0,0.04672897196261682
9,-0.1321196743287146,0.0,0.037383177570093455
