epoch,avg_score,avg_score_bin,success_rate
0,-0.5407510176301003,0.0,0.0
1,-0.16673264950513839,0.0,0.0
2,-0.2660071201622486,0.0,0.0
3,-0.20001903586089612,0.0,0.0
4,-0.249324419721961,0.0,0.0
