epoch,avg_score,avg_score_bin,success_rate
0,-0.6950322035700083,0.0,0.056179775280898875
1,-0.49774050414562226,0.0,0.07865168539325842
2,-0.5288446759805083,0.0,0.1348314606741573
3,-0.2280309256631881,0.0,0.14606741573033707
4,-0.4795126766897738,0.0,0.14606741573033707
5,-0.589592996169813,0.0,0.1797752808988764
6,-0.2081078663468361,0.0,0.20224719101123595
7,-0.4609744368121028,0.0,0.20224719101123595
8,-0.6369748681783676,0.0,0.2247191011235955
9,-0.3447416312992573,0.0,0.2247191011235955
